名称,数量,百分比
org.jolokia.jolokia-server-core,2,1.59
org.jolokia.jolokia-client-java,2,1.59
org.jboss.logging.commons-logging-jboss-logging,2,1.59
org.jolokia.jolokia-bom,2,1.59
io.netty.netty-codec-http,2,1.59
com.alibaba.fastjson2.fastjson2,2,1.59
io.swagger.swagger-annotations,2,1.59
org.nasdanika.ai.mcp-sse,1,0.79
org.junit.platform.junit-platform-engine,1,0.79
org.nasdanika.ai.core,1,0.79
org.nasdanika.ai.openai,1,0.79
org.slf4j.jul-to-slf4j,1,0.79
io.opentelemetry.instrumentation.opentelemetry-reactor-3.1,1,0.79
org.nasdanika.ai.mcp-help,1,0.79
com.oracle.database.jdbc.ojdbc11,1,0.79
commons-validator.commons-validator,1,0.79
org.slf4j.slf4j-bom,1,0.79
commons-net.commons-net,1,0.79
org.apache.maven.shared.maven-invoker,1,0.79
org.apache.maven.maven-embedder,1,0.79
us.dustinj.timezonemap.timezonemap,1,0.79
com.contrastsecurity.contrast-sdk-java,1,0.79
io.github.skylot.jadx-all,1,0.79
io.javalin.javalin,1,0.79
org.springframework.cloud.spring-cloud-bindings,1,0.79
io.github.springboot-addons.spring-boot-starter-httpclient5-resilience4j,1,0.79
org.springframework.ai.spring-ai-spring-cloud-bindings,1,0.79
com.opencsv.opencsv,1,0.79
org.springframework.cloud.spring-cloud-starter-parent,1,0.79
org.springframework.cloud.spring-cloud-starter-openfeign,1,0.79
com.cedarsoftware.json-io,1,0.79
me.pacphi.spring-ai-resos-codegen,1,0.79
io.pivotal.spring.cloud.spring-cloud-services-dependencies,1,0.79
org.liquibase.liquibase-core,1,0.79
io.micrometer.micrometer-bom,1,0.79
me.pacphi.spring-ai-resos-entities,1,0.79
me.pacphi.spring-ai-resos-client,1,0.79
org.springframework.security.spring-security-oauth2-client,1,0.79
io.github.springboot-addons.spring-boot-starter-httpclient5-actuator,1,0.79
io.pivotal.cfenv.java-cfenv-boot,1,0.79
io.pivotal.cfenv.java-cfenv,1,0.79
org.openapitools.jackson-databind-nullable,1,0.79
io.github.cdancy.jenkins-rest,1,0.79
org.springframework.boot.spring-boot-starter-cache,1,0.79
org.cloudfoundry.cloudfoundry-operations,1,0.79
org.cloudfoundry.cloudfoundry-client-reactor,1,0.79
io.netty.netty-resolver-dns-native-macos,1,0.79
org.apache.zookeeper.zookeeper,1,0.79
org.apache.curator.curator-framework,1,0.79
org.apache.curator.curator-x-discovery,1,0.79
org.elasticsearch.client.elasticsearch-rest-high-level-client,1,0.79
com.microsoft.sqlserver.mssql-jdbc,1,0.79
org.apache.dubbo.dubbo-spring-boot-starter,1,0.79
org.springframework.ai.spring-ai-azure-openai-spring-boot-starter,1,0.79
org.mongodb.mongodb-driver-sync,1,0.79
org.apache.curator.curator-recipes,1,0.79
org.apache.lucene.lucene-queryparser,1,0.79
org.apache.lucene.lucene-core,1,0.79
org.apache.lucene.lucene-analysis-common,1,0.79
nl.basjes.gitignore.gitignore-reader,1,0.79
org.jsoup.jsoup,1,0.79
org.infinispan.infinispan-query,1,0.79
ai.wanaku.core-capabilities-provider,1,0.79
org.apache.camel.quarkus.camel-quarkus-aws2-sqs,1,0.79
org.apache.camel.quarkus.camel-quarkus-yaml-dsl,1,0.79
org.apache.camel.quarkus.camel-quarkus-scheduler,1,0.79
org.apache.camel.quarkus.camel-quarkus-yaml-io,1,0.79
ai.wanaku.core-config-provider-file,1,0.79
org.apache.camel.quarkus.camel-quarkus-saga,1,0.79
io.quarkiverse.quinoa.quarkus-quinoa,1,0.79
org.apache.camel.quarkus.camel-quarkus-language,1,0.79
io.quarkus.quarkus-security,1,0.79
net.java.dev.jna.jna,1,0.79
ai.wanaku.core-security,1,0.79
org.apache.camel.quarkus.camel-quarkus-kafka,1,0.79
org.apache.camel.quarkus.camel-quarkus-ref,1,0.79
org.apache.camel.quarkus.camel-quarkus-stub,1,0.79
org.apache.camel.camel-bom,1,0.79
org.jline.jline-console-ui,1,0.79
org.skyscreamer.jsonassert,1,0.79
org.apache.camel.quarkus.camel-quarkus-telegram,1,0.79
ai.wanaku.core-capabilities-base,1,0.79
org.apache.camel.quarkus.camel-quarkus-xslt,1,0.79
ai.wanaku.core-util,1,0.79
info.picocli.picocli,1,0.79
dev.langchain4j.langchain4j-web-search-engine-tavily,1,0.79
org.apache.camel.quarkus.camel-quarkus-xml-jaxb,1,0.79
org.apache.camel.quarkus.camel-quarkus-bean,1,0.79
ai.wanaku.core-forward-discovery,1,0.79
org.apache.camel.quarkus.camel-quarkus-xml-jaxp,1,0.79
io.quarkiverse.infinispan.quarkus-infinispan-embedded,1,0.79
ai.wanaku.core-config-provider-api,1,0.79
org.apache.camel.quarkus.camel-quarkus-timer,1,0.79
ai.wanaku.core-mcp,1,0.79
io.rest-assured.rest-assured,1,0.79
com.googlecode.juniversalchardet.juniversalchardet,1,0.79
org.apache.camel.quarkus.camel-quarkus-xpath,1,0.79
org.apache.camel.camel-catalog,1,0.79
dev.langchain4j.langchain4j-core,1,0.79
io.quarkiverse.mcp.quarkus-mcp-server-test,1,0.79
io.quarkus.quarkus-core,1,0.79
org.jline.jline,1,0.79
io.quarkus.quarkus-grpc,1,0.79
ai.wanaku.core-service-discovery,1,0.79
org.apache.camel.quarkus.camel-quarkus-langchain4j-web-search,1,0.79
org.apache.commons.commons-pool2,1,0.79
ai.wanaku.api,1,0.79
io.quarkus.quarkus-messaging,1,0.79
io.quarkus.quarkus-oidc-client,1,0.79
org.testcontainers.localstack,1,0.79
org.apache.camel.quarkus.camel-quarkus-controlbus,1,0.79
org.apache.camel.quarkus.camel-quarkus-dataset,1,0.79
ai.wanaku.core-services-api,1,0.79
org.apache.camel.quarkus.camel-quarkus-dataformat,1,0.79
io.quarkus.quarkus-smallrye-openapi,1,0.79
org.apache.camel.quarkus.camel-quarkus-aws2-s3,1,0.79
org.apache.camel.quarkus.camel-quarkus-ftp,1,0.79
software.amazon.awssdk.s3,1,0.79
org.apache.camel.quarkus.camel-quarkus-http,1,0.79
io.swagger.parser.v3.swagger-parser,1,0.79
io.quarkus.quarkus-rest-client,1,0.79
io.quarkus.quarkus-picocli,1,0.79
org.apache.camel.quarkus.camel-quarkus-rest,1,0.79
io.swagger.core.v3.swagger-core,1,0.79
dev.langchain4j.langchain4j-bom,1,0.79
${quarkus.platform.group-id}.quarkus-camel-bom,1,0.79
ai.wanaku.core-exchange,1,0.79
org.apache.camel.quarkus.camel-quarkus-validator,1,0.79
commons-logging.commons-logging,1,0.79
io.quarkus.quarkus-test-keycloak-server,1,0.79
ai.wanaku.core-capabilities-tool,1,0.79
ai.wanaku.core-runtime-camel,1,0.79
org.apache.camel.quarkus.camel-quarkus-seda,1,0.79
ai.wanaku.core-persistence-api,1,0.79
org.apache.camel.quarkus.camel-quarkus-browse,1,0.79
ai.wanaku.cli,1,0.79
ai.wanaku.core-persistence-infinispan,1,0.79
org.apache.camel.quarkus.camel-quarkus-mock,1,0.79
ai.wanaku.core-mcp-client,1,0.79
org.apache.camel.quarkus.camel-quarkus-file,1,0.79
org.xerial.sqlite-jdbc,1,0.79
io.quarkus.quarkus-hibernate-validator,1,0.79
org.apache.tomcat.embed.tomcat-embed-websocket,1,0.79
io.projectreactor.reactor-bom,1,0.79
org.springframework.spring-webflux,1,0.79
org.springframework.spring-test,1,0.79
net.javacrumbs.json-unit.json-unit-assertj,1,0.79
com.networknt.json-schema-validator,1,0.79
org.testcontainers.toxiproxy,1,0.79
org.springframework.ai.spring-ai-starter-vector-store-pgvector,1,0.79
org.jetbrains.kotlin.kotlin-test-junit5,1,0.79
org.springaicommunity.spring-ai-mcp-annotations,1,0.79
org.springframework.ai.spring-ai-starter-model-anthropic,1,0.79
com.fasterxml.jackson.module.jackson-module-kotlin,1,0.79
